Height,u,tke,omega
0.0,0.0,3.02,450.3794627144834
0.0002813263340389897,0.5715851801792352,3.02,411.76592956554
0.0011253053361559588,0.7754149289361079,3.02,327.5244565054347
0.002531937006350907,0.926860367477879,3.02,244.2432707733808
0.004501221344623835,1.0519312481622527,3.02,180.12245287386676
0.007033158350974742,1.1604535514155594,3.02,134.66730424046224
0.010127748025403628,1.2573827854602302,3.02,102.92232799782946
0.013784990367910494,1.3456251564653128,3.02,80.4968223709293
0.01800488537849534,1.427054483434343,3.02,64.32495887488805
0.02278743305715817,1.5029608369689458,3.02,52.395226199856154
0.028132633403898967,1.5742763096523675,3.02,43.39942498967136
0.03404048641871774,1.6416997858273599,3.02,36.477339224699726
0.04051099210161451,1.7057709280135558,3.02,31.052805805669394
0.047544150452589265,1.7669165355612149,3.02,26.73184485335898
0.05513996147164198,1.825480910383294,3.02,23.239409761261605
0.06329842515877267,1.8817464874942345,3.02,20.379645291840937
0.07201954151398136,1.9359482877306318,3.02,18.010485813108293
0.08130331053726803,1.9882843102514758,3.02,16.02710948754677
0.09114973222863268,2.0389231754164467,3.02,14.350953063385814
0.10155880658807527,2.0880098567238505,3.02,12.922282036619428
0.11253053361559587,2.1356700542727527,3.02,11.695076148778867
0.12406491331119446,2.1820135830285605,3.02,10.633449887416043
0.13616194567487097,2.227137033823312,3.02,9.709108201894239
0.14882163070662552,2.2711258889129566,3.02,8.899511761629935
0.16204396840645804,2.314056222577621,3.02,8.186535995159586
0.17582895877436855,2.3559960819325423,3.02,7.555478695417579
0.19017660181035706,2.3970066183811927,3.02,6.994316990159466
0.20508689751442347,2.4371430225344115,3.02,6.493144951857415
0.2205598458865679,2.476455302699092,3.02,6.043743601563426
0.23659544692679033,2.5149889377252705,3.02,5.639249015263206
0.25319370063509067,2.5527854280941353,3.02,5.27389387324532
0.2703546070114691,2.589882763949676,3.02,4.942804523820448
0.28807816605592546,2.6263158248502854,3.02,4.641840391023535
0.30636437776845976,2.6621167230108327,3.02,4.3674659567776555
0.3252132421490721,2.6973150994834616,3.02,4.116648003890632
0.3446247591977624,2.731938380915738,3.02,3.886772597157824
0.3645989289145307,2.7660120031033,3.02,3.6755775979358174
0.3851357512993768,2.79955960642914,3.02,3.481097486176403
0.4062352263523011,2.8326032073849685,3.02,3.301617996541399
0.42789735407330326,2.865163349650651,3.02,3.135638628019047
0.45012213446238347,2.897259237626821,3.02,2.98184150669783
0.47290956751954166,2.928908854843988,3.02,2.839065403088309
0.49625965324477783,2.960129069286145,3.02,2.706283953374081
0.5201723916380919,2.9909357273504718,3.02,2.582587326355152
0.5446477826994839,3.0213437379036776,3.02,2.4671667280078693
0.569685826428954,3.051367147679025,3.02,2.3593012534789337
0.5952865228265021,3.0810192090777573,3.02,2.2583466894093296
0.6214498718921282,3.110312441287818,3.02,2.1637259433642018
0.6481758736258322,3.1392586855060136,3.02,2.074920836087086
0.6754645280276143,3.1678691549429328,3.02,1.9914650395524545
0.7033158350974742,3.1961544801994464,3.02,1.9129379818548005
