umag,tke,height
10.6,2.81,169
10.6,2.81,170
10.6,2.81,170
10.7,2.81,172
10.7,2.81,172
10.7,2.81,173
10.7,2.81,173
10.7,2.81,175
10.7,2.81,175
10.7,2.81,177
10.7,2.81,177
10.7,2.81,178
10.7,2.81,178
10.8,2.81,180
10.8,2.81,180
10.8,2.81,181
10.8,2.81,181
10.8,2.81,183
10.8,2.81,183
10.8,2.81,184
10.8,2.81,184
10.8,2.81,186
10.8,2.81,186
10.8,2.81,187
10.8,2.81,188
10.9,2.81,189
10.9,2.81,189
10.9,2.81,191
10.9,2.81,191
10.9,2.81,192
10.9,2.8,192
10.9,2.8,194
10.9,2.8,194
10.9,2.8,195
10.9,2.8,195
10.9,2.8,197
10.9,2.8,197
10.9,2.8,198
10.9,2.8,198
10.9,2.8,200
10.9,2.8,200
