P0,28.0,0.0,0.1
P1,28.0,0.0,0.2
P2,28.0,0.0,0.30000000000000004
P3,28.0,0.0,0.4
P4,28.0,0.0,0.5
P5,28.0,0.0,0.6
P6,28.0,0.0,0.7000000000000001
P7,28.0,0.0,0.8
P8,28.0,0.0,0.9
P9,28.0,0.0,1.0
P10,28.0,0.0,1.1
P11,28.0,0.0,1.2000000000000002
P12,28.0,0.0,1.3000000000000003
P13,28.0,0.0,1.4000000000000001
P14,28.0,0.0,1.5000000000000002
P15,28.0,0.0,1.6
P16,28.0,0.0,1.7000000000000002
P17,28.0,0.0,1.8000000000000003
P18,28.0,0.0,1.9000000000000001
P19,28.0,0.0,2.0
P20,28.0,0.0,2.1
P21,28.0,0.0,2.2
P22,28.0,0.0,2.3000000000000003
P23,28.0,0.0,2.4000000000000004
P24,28.0,0.0,2.5000000000000004
P25,28.0,0.0,2.6
P26,28.0,0.0,2.7
P27,28.0,0.0,2.8000000000000003
P28,28.0,0.0,2.9000000000000004
P29,28.0,0.0,3.0000000000000004
P30,28.0,0.0,3.1
P31,28.0,0.0,3.2
P32,28.0,0.0,3.3000000000000003
P33,28.0,0.0,3.4000000000000004
P34,28.0,0.0,3.5000000000000004
P35,28.0,0.0,3.6
P36,28.0,0.0,3.7
P37,28.0,0.0,3.8000000000000003
P38,28.0,0.0,3.9000000000000004
P39,28.0,0.0,4.0
P40,28.0,0.0,4.1
P41,28.0,0.0,4.2
P42,28.0,0.0,4.3
P43,28.0,0.0,4.3999999999999995
P44,28.0,0.0,4.5
P45,28.0,0.0,4.6
P46,28.0,0.0,4.7
P47,28.0,0.0,4.8
P48,28.0,0.0,4.9
P49,28.0,0.0,5.0
P50,28.0,0.0,5.1
P51,28.0,0.0,5.2
P52,28.0,0.0,5.3
P53,28.0,0.0,5.4
P54,28.0,0.0,5.5
P55,28.0,0.0,5.6
P56,28.0,0.0,5.7
P57,28.0,0.0,5.8
P58,28.0,0.0,5.9
P59,28.0,0.0,6.0
P60,28.0,0.0,6.1
P61,28.0,0.0,6.2
P62,28.0,0.0,6.3
P63,28.0,0.0,6.4
P64,28.0,0.0,6.5
P65,28.0,0.0,6.6
P66,28.0,0.0,6.7
P67,28.0,0.0,6.8
P68,28.0,0.0,6.9
P69,28.0,0.0,7.0
P70,28.0,0.0,7.1
P71,28.0,0.0,7.2
P72,28.0,0.0,7.3
P73,28.0,0.0,7.4
P74,28.0,0.0,7.5
P75,28.0,0.0,7.6
P76,28.0,0.0,7.7
P77,28.0,0.0,7.8
P78,28.0,0.0,7.9
P79,28.0,0.0,8.0
P80,28.0,0.0,8.1
P81,28.0,0.0,8.2
P82,28.0,0.0,8.3
P83,28.0,0.0,8.4
P84,28.0,0.0,8.5
P85,28.0,0.0,8.6
P86,28.0,0.0,8.7
P87,28.0,0.0,8.8
P88,28.0,0.0,8.9
P89,28.0,0.0,9.0
P90,28.0,0.0,9.1
P91,28.0,0.0,9.2
P92,28.0,0.0,9.3
P93,28.0,0.0,9.4
P94,28.0,0.0,9.5
P95,28.0,0.0,9.6
P96,28.0,0.0,9.700000000000001
P97,28.0,0.0,9.8
P98,28.0,0.0,9.9
P99,28.0,0.0,10.0
P100,28.0,0.0,10.1
P101,28.0,0.0,10.200000000000001
P102,28.0,0.0,10.3
P103,28.0,0.0,10.4
P104,28.0,0.0,10.5
P105,28.0,0.0,10.6
P106,28.0,0.0,10.700000000000001
P107,28.0,0.0,10.8
P108,28.0,0.0,10.9
P109,28.0,0.0,11.0
P110,28.0,0.0,11.1
P111,28.0,0.0,11.200000000000001
P112,28.0,0.0,11.3
P113,28.0,0.0,11.4
P114,28.0,0.0,11.5
P115,28.0,0.0,11.6
P116,28.0,0.0,11.700000000000001
P117,28.0,0.0,11.8
P118,28.0,0.0,11.9
P119,28.0,0.0,12.0
