Height,u,tke,omega
0.0,0.0,0.0,6.867977811396874
2.0,3.833055975794251,0.5288428857848444,6.867977811396874
4.0,4.120786686838124,0.6057654873535491,0.813224911749874
8.0,4.320990922844175,0.6669999267602152,0.5918935955622784
12.0,4.475922844175491,0.6659877872658901,0.6975289964699952
20.0,4.739508320726173,0.7297525754083691,1.4067952597075155
40.0,5.32,0.7499953652948702,2.5704614220877455
80.0,6.28178517397882,0.7444285980760824,2.769994957135653
120.0,6.981996974281392,0.6938216233598293,2.114384770549673
160.0,7.550416036308624,0.6346114629418133,2.8270045385779126
240.0,8.67819969742814,0.4564749119406025,3.29146495209279
320.0,9.525295007564297,0.281374779422367,2.2434947049924356
400.0,10.0242965204236,0.1260113670434701,0.9087997982854231
480.0,10.070574886535551,0.0678133461197791,0.15426122037316858
