ITEM NAME,VARIABLE,MIN,MAX,AVG,RMS,STDDEV
P0,Ux,2.10502422,2.10503555,2.105031000363036,2.1050310003635477,1.467201271517175E-6
P0,Uy,-5.46377145E-7,7.31364572E-6,3.2513643031081683E-6,3.473894061172919E-6,1.2233438260466323E-6
P0,Uz,0.00413450377,0.00414249764,0.004138603186122112,0.004138603359296825,1.1972480405896263E-6
P0,UMag,2.1050282883367566,2.1050396213616596,2.105035068719578,2.1050350687200896,1.4672033697227397E-6
P0,p,3.39146747,3.39201931,3.391756229686469,3.3917562304907394,7.386325556733064E-5
P0,k,0.185903419,0.185903989,0.1859036900891089,0.18590369008917626,1.5822476487006273E-7
P100,Ux,6.01617179,6.01618058,6.016176592986799,6.016176592986924,1.2268261082949844E-6
P100,Uy,-2.05554119E-6,4.48183296E-6,8.293132190128436E-7,1.264116275715127E-6,9.540595072103408E-7
P100,Uz,0.153126306,0.153133198,0.1531300695371287,0.15313006954144798,1.1501391870603381E-6
P100,UMag,6.018120324445325,6.018129065595295,6.018125091438496,6.0181250914386215,1.2259251118131539E-6
P100,p,3.59145273,3.59182627,3.591646993935644,3.591646994178938,4.180497924342631E-5
P100,k,1.78125866,1.78126046,1.7812590601980196,1.7812590601980467,3.0953168137314756E-7
P101,Ux,6.07667085,6.07667829,6.076675139372938,6.076675139373038,1.1098476552774161E-6
P101,Uy,-2.10730246E-6,3.54336048E-6,8.303864328708251E-7,1.2334484341503783E-6,9.120599825735624E-7
P101,Uz,0.15167032,0.151676631,0.15167293654125413,0.1516729365441671,9.400235202341808E-7
P101,UMag,6.078563463106292,6.078570888413445,6.078567711982369,6.078567711982469,1.1083067505699022E-6
P101,p,3.61800492,3.61836784,3.6181939833250825,3.618193983544121,3.9812629189579985E-5
P101,k,1.92820635,1.92820815,1.9282067798019802,1.9282067798020093,3.351650404795753E-7
P102,Ux,6.07667085,6.07667829,6.076675139372938,6.076675139373038,1.1098476552774161E-6
P102,Uy,-2.10730246E-6,3.54336048E-6,8.303864328708251E-7,1.2334484341503783E-6,9.120599825735624E-7
P102,Uz,0.15167032,0.151676631,0.15167293654125413,0.1516729365441671,9.400235202341808E-7
P102,UMag,6.078563463106292,6.078570888413445,6.078567711982369,6.078567711982469,1.1083067505699022E-6
P102,p,3.61800492,3.61836784,3.6181939833250825,3.618193983544121,3.9812629189579985E-5
P102,k,1.92820635,1.92820815,1.9282067798019802,1.9282067798020093,3.351650404795753E-7
P103,Ux,6.07710789,6.07711533,6.0771119766831685,6.077111976683267,1.095557209531476E-6
P103,Uy,-2.09323628E-6,3.52666933E-6,8.303265082765099E-7,1.2310823165145437E-6,9.08912294827259E-7
P103,Uz,0.151654179,0.151660468,0.1516567793019802,0.1516567793048715,9.364715557968901E-7
P103,UMag,6.078999955352951,6.079007389345027,6.079004010185932,6.079004010186031,1.093750326824923E-6
P103,p,3.61825615,3.61861907,3.6184451678877885,3.6184451681067737,3.980918238264159E-5
P103,k,1.92905163,1.92905343,1.9290520670297029,1.9290520670297324,3.3629178915424595E-7
P104,Ux,6.09077658,6.09078402,6.0907807556848175,6.090780755684904,1.0154371717012047E-6
P104,Uy,-1.71352156E-6,3.33399724E-6,8.277527645476338E-7,1.1613715150287497E-6,8.14622094411834E-7
P104,Uz,0.151304083,0.151309844,0.1513063876518152,0.1513063876541208,8.352896896093018E-7
