,V_dot (m3/s),dp (Pa)
0,0.0,0.0
1,0.25,0.4639184654629514
2,0.5,0.9278369309259028
3,1.0,1.8556738618518056
4,2.0,3.711347723703611
5,4.0,7.422695447407222
