velocity,height
0.745304454,0.303797468
0.684874363,0.721518987
0.604300909,1.215189873
0.473369045,2.050632911
0.372652227,2.810126582
0.3323655,3.607594937
0.352508863,4.405063291
0.423010636,5.126582278
0.543870818,5.924050633
0.644587636,6.607594937
0.765447817,7.367088608
0.886307999,8.240506329
1.007168181,9.417721519
1.107884999,10.86075949
