ITEM NAME,VARIABLE,MIN,MAX,AVG,RMS,STDDEV
P0,Ux,-0.82125165,6.51307678,2.381827848370286,3.3103985272183527,2.2990507845059045
P0,Uy,3.54893611,9.29850384,6.133371986228572,6.348551936861456,1.6388592903522632
P0,Uz,-0.0537148839,0.678904208,0.19596200532605715,0.24061885093258256,0.13962923724172796
P0,UMag,3.9110680943649667,9.844711119108188,6.924335695144346,7.163850049761014,1.8369329645936359
P0,p,-105.268199,-44.4224428,-71.23709883142857,73.12260232096769,16.49820354680074
P0,k,0.50154597,1.5154413,1.0169047458057143,1.06060089908945,0.3012955444528927
P100,Ux,-7.15451897,-6.97703879,-7.061179630914287,7.061466948998546,0.06370001381486136
P100,Uy,-1.62588115,-1.5846861,-1.6001935556571432,1.6002466594325224,0.013036696602198954
P100,Uz,0.0878368711,0.0981681026,0.09284389293542858,0.09292729467134621,0.003936196073608146
P100,UMag,7.162071758420713,7.329502392147837,7.2408675529364315,7.241114577530085,0.05981141823339724
P100,p,213.271192,220.046264,216.5707826057143,216.5767411676646,1.6065292882583782
P100,k,2.4063985,2.44965306,2.4278964977142854,2.427944229794667,0.01522430228026817
P101,Ux,-7.91060229,-7.72981592,-7.8162219912,7.816495924415374,0.06543944287401164
P101,Uy,-3.41190706,-3.38271603,-3.3955358392571426,3.3955441114019664,0.007495118201898015
P101,Uz,0.174688418,0.177383115,0.17579256458285714,0.17579372551926714,6.388813077820439E-4
P101,UMag,8.445942619231873,8.611209400459437,8.523774008146354,8.523979808916177,0.059232093153364494
P101,p,195.57052,202.46676,199.00889245714285,199.01612935180222,1.6971933168066335
P101,k,3.17315754,3.22178962,3.1966042561714287,3.1966502346890824,0.01714503906299921
P102,Ux,-8.51716947,-8.35004254,-8.429609410057143,8.429834479312817,0.06159985785078737
P102,Uy,-5.26094728,-5.22537538,-5.2394818043999996,5.239489321909152,0.008875571043139617
P102,Uz,0.183543564,0.187761016,0.1855110507657143,0.18551491251799018,0.0011970005673029886
P102,UMag,9.854166627579948,10.009277405352941,9.927021113056377,9.927173489255527,0.055002788208302573
P102,p,179.434795,186.304017,182.90928100571426,182.91743631079316,1.7272603989302986
P102,k,3.77131211,3.81146899,3.790096380571429,3.7901223242841144,0.014023516541069892
P103,Ux,-8.92823519,-8.7735434,-8.847062285314285,8.847239101260525,0.05593419922301438
P103,Uy,-6.86884346,-6.82091183,-6.839709681485716,6.839720052519073,0.011910911892299187
P103,Uz,0.154495979,0.158526752,0.1564492966514286,0.15645339333480396,0.0011321939975878932
P103,UMag,11.115932499619984,11.261333650447067,11.183800172224341,11.183912006806501,0.05001483525323134
P103,p,165.038398,171.804879,168.5173022914286,168.5261356901462,1.7254677837771297
P103,k,4.10578961,4.13265543,4.117970553942857,4.117980650752193,0.009119036627275942
P104,Ux,-9.15846209,-9.02426905,-9.087865100342857,9.088001664919558,0.04982147680442114
P104,Uy,-8.15920028,-8.10457048,-8.126290260971428,8.126302204815145,0.013932638815994708
P104,Uz,0.123380006,0.126024138,0.12469543353142858,0.12469709727132232,6.441461811573685E-4
P104,UMag,12.130949218058477,12.261707092437343,12.191885881020234,12.1919691252739,0.045053477241590846
P104,p,152.600969,159.204665,156.04724151428573,156.05655712538277,1.705120995718562
P104,k,4.27565851,4.29746759,4.285606406742857,4.285612592729531,0.007281582692514604
P105,Ux,-9.27075355,-9.15180987,-9.208096911371427,9.208202263497732,0.044047659151408874
P105,Uy,-9.15299746,-9.09687075,-9.119190101028572,9.119202197282048,0.01485315509396922
P105,Uz,0.0970381885,0.0990134485,0.09806272551714286,0.09806396193511772,4.924373683165529E-4
P105,UMag,12.905356803621387,13.022987612529493,12.959892369787843,12.959955793945785,0.040545585994858475
P105,p,142.057337,148.479299,145.4475484742857,145.45720193127747,1.6757793699476615
P105,k,4.37841668,4.39622437,4.386712196628571,4.386716078025549,0.005835508374723087
P106,Ux,-9.30744136,-9.20350884,-9.25256737657143,9.252648889855307,0.03883839526472254
P106,Uy,-9.92250365,-9.86604167,-9.888816428457142,9.888828200402221,0.01525848440489182
P106,Uz,0.0770413205,0.0785608682,0.07785477791371428,0.07785579147558673,3.97268544275653E-4
P106,UMag,13.49306064766324,13.59986810629007,13.54271599723129,13.542765455411134,0.03660052749430119
P106,p,133.239468,139.553038,136.55911079428571,136.56898199622103,1.6419812904350661
P106,k,4.44808545,4.46371401,4.455448646742857,4.4554515376653585,0.0050755021280303155
P107,Ux,-9.30558282,-9.21454486,-9.25740593,9.25746911916317,0.03420437779815441
P107,Uy,-10.5291728,-10.4731706,-10.496186285142857,10.496197432780434,0.015297564694059034
P107,Uz,0.0616529476,0.062856703,0.062325565210857144,0.06232645933448592,3.338477505104053E-4
P107,UMag,13.949970991590934,14.047499406367905,13.99548789897785,13.99552712932598,0.03313755066498299
P107,p,125.853445,132.044518,129.10089893142856,129.1109069261425,1.6075392337651042
P107,k,4.50149369,4.515588,4.508215948685715,4.508218243771317,0.0045490095961395706
P108,Ux,-10.9257435,-5.86596887,-8.733984139657142,8.850812759352804,1.4333204628902354
P108,Uy,-6.02191714,7.52893461,1.3327484782838286,3.302029959910461,3.021122862410336
P108,Uz,-0.681880021,1.04444517,0.25580190923182855,0.43687730396539776,0.3541569736055269
P108,UMag,6.037614771961889,12.140966377757985,9.321601474664584,9.456804435748301,1.5933913780109987
P108,p,-63.2101581,-9.6036284,-38.118351117542865,40.17735704517362,12.696902268470113
P108,k,0.691693681,3.10104842,1.4951270643942858,1.5941562496617034,0.553108677974946
P109,Ux,-13.36137,-3.83429554,-7.2680712919428565,7.555006615507566,2.062344456098247
P109,Uy,-5.41051196,6.36909095,0.8397869545156571,2.5811256474385678,2.440689959599638
P109,Uz,-0.975540039,0.996500843,0.04437958746697144,0.39821709150136453,0.3957364074482756
P109,UMag,3.88012243978141,13.976109130898221,7.670470433500763,7.99367946694087,2.2500654988205753
P109,p,-84.154915,-39.4199351,-62.41027684914286,63.46227227295426,11.507273598030185
P109,k,0.716758724,2.28222593,1.4370710719142858,1.4799440865198994,0.35363997722591417
P10,Ux,-13.6015171,-13.1018608,-13.310000065142859,13.311107011720617,0.1716628771019416
P10,Uy,-10.7454364,-9.93013996,-10.28179273382857,10.285460084118665,0.27464034770649964
P10,Uz,0.0694602152,0.0929885872,0.08150690616971429,0.08178745774608324,0.006768492535915449
P10,UMag,16.44623225894681,17.328957979982516,16.81936300905189,16.822097021706917,0.30327574492135995
P10,p,-19.0875505,6.07131756,-4.083622164673143,9.137562829390555,8.174294127155576
P10,k,4.39762514,4.68434461,4.520443358457143,4.521548378095657,0.09995788333181697
P110,Ux,-7.63752446,-1.32359073,-3.9221946394285716,4.194198405064666,1.485829556673569
P110,Uy,-1.53335814,4.63568312,1.6811012382319999,2.1802808730819923,1.388352733400994
P110,Uz,-1.1881618,0.53005266,-0.2838510260127428,0.524554872243231,0.4411194951774696
P110,UMag,1.6175864049915458,7.806952849900624,4.516933353544556,4.7560574807889235,1.4890922873364851
P110,p,-109.940759,-53.7767536,-78.39892169771427,79.29459886496016,11.884548194635157
P110,k,0.213811669,0.893086763,0.6345304871542858,0.6644258949111621,0.19706047472855517
P111,Ux,-4.43310745,1.40298353,-1.37648132352104,1.9328365255769036,1.3568921108923737
P111,Uy,-1.28592426,5.72497412,2.7191947745805716,3.304541215354718,1.8777572851334516
P111,Uz,-1.17353274,0.812334592,-0.18151353998148567,0.48290316315537335,0.4474911169943541
P111,UMag,0.7171892621220176,7.126686792944858,3.499793225996197,3.8586325483994584,1.6249592360545015
P111,p,-108.621308,-63.653686,-87.08015437942856,87.63213968230407,9.820316621868091
P111,k,0.126274182,0.650786894,0.3643469606571429,0.38994147059894363,0.13894474712190172
P112,Ux,-0.642258882,6.94839659,3.2457903770514283,4.00223565379678,2.341524088443782
P112,Uy,-0.348863349,4.00426212,2.1580267690445716,2.4254510312699336,1.1071283435877843
P112,Uz,-0.267617259,0.886367967,0.34870439935297143,0.4473015439533183,0.2801498047382967
P112,UMag,1.6509900609781991,6.957153359026443,4.473429827661639,4.701146839318417,1.445409001570385
P112,p,-104.226134,-68.6052673,-87.68732086857143,88.18748862135224,9.379067556709996
P112,k,0.248416882,0.574883124,0.3786194827828572,0.38801023766299564,0.08484828689217071
P113,Ux,3.62694355,4.29042037,4.005472578285715,4.008024682045093,0.14300795951227824
P113,Uy,-2.54899503,-2.11459602,-2.336306697885714,2.338758597680919,0.10706442752272055
P113,Uz,-0.228542832,-0.10736961,-0.19131089378857138,0.19332454707081737,0.027830242865534333
P113,UMag,4.230936398054797,4.986040110849805,4.641688258396561,4.6445051416280325,0.1617347287156554
P113,p,101.443441,115.263268,108.92726368000004,108.96914562408817,3.0209146349222733
P113,k,0.725535135,0.851589444,0.7987105044057143,0.7992132930349313,0.028344627633969208
P114,Ux,-1.73933642,-1.34895562,-1.5001764868,1.5023887929417739,0.08150210800617129
P114,Uy,0.505007639,0.977145516,0.64128884184,0.6510532773261009,0.11233428349603812
P114,Uz,0.207708528,0.29923514,0.2577185263542857,0.2584442005189693,0.01935370650972508
P114,UMag,1.4856465294888874,1.886778823209976,1.6550460155335531,1.6576597539471076,0.09305131016001457
P114,p,91.6371859,104.281187,98.31209027714287,98.35098125572918,2.765577571449544
P114,k,0.327035843,0.365575569,0.34814247969714285,0.34830010076278894,0.010477309850023552
P115,Ux,-2.53733705,-2.19901966,-2.369495640171428,2.370885193277961,0.08116040237250012
P115,Uy,-3.73939288,-3.0682956,-3.518258322857143,3.522418786965292,0.17115047301273636
P115,Uz,0.487108535,0.556385084,0.5229712537257143,0.5232310236255909,0.016485504567294678
P115,UMag,3.9946110480188617,4.435546955707901,4.276823964734517,4.278118910754468,0.1052529772857704
P115,p,81.9766986,94.0956462,88.36260413028572,88.40139550886651,2.618571982867192
P115,k,0.542679491,0.614379451,0.5852319014628571,0.5855753386252055,0.02005239926274927
P116,Ux,0.0332057907,0.293998892,0.16860322734342856,0.17974891135159454,0.062310696204291686
P116,Uy,-8.44471354,-7.90469858,-8.1553449776,8.156438494229052,0.13355600501641787
P116,Uz,0.373962231,0.417075178,0.3909169495085714,0.39103665869361415,0.009675072567122883
P116,UMag,7.915334585922174,8.455977612870676,8.166688596954666,8.167784782284352,0.13381184583761394
P116,p,68.0587097,79.9625035,74.15684673771429,74.1986460667787,2.4902128548072144
P116,k,1.14581545,1.26720501,1.2054503828571426,1.2058261344638337,0.030100515370325247
P117,Ux,1.17918887,1.53516762,1.3944507670285715,1.3967720880824621,0.08049425060009209
P117,Uy,-5.1691662,-4.69694052,-4.9170627874857145,4.918096825556065,0.10084606818242994
P117,Uz,0.556025023,0.638411615,0.5861371189371428,0.5864088271817728,0.01784910083920019
P117,UMag,4.885002474463749,5.4213294322471475,5.144863536845481,5.146117367898597,0.11359203944550614
P117,p,73.3946452,83.6879548,78.72815455771429,78.75645171029818,2.111010642602569
P117,k,0.755119616,0.835785555,0.7947790541314287,0.7949896643304925,0.018298128490661734
P118,Ux,-1.61443261,-1.31681686,-1.4249020322857142,1.4263923446282887,0.0651868023623457
P118,Uy,-0.214835117,0.0196080598,-0.08486652268235427,0.10833683752334575,0.06733902057771007
P118,Uz,1.36682738,1.41539786,1.3874935052000001,1.3875418852982662,0.011586910066275687
P118,UMag,1.9105514016792988,2.14915552001095,1.992206055942388,1.9928884752127531,0.05214887632813115
P118,p,66.825404,75.5400784,71.39673421028573,71.41822090394801,1.7517480386553899
P118,k,0.306417549,0.327138999,0.3138074989942857,0.31383962955946276,0.004490730115712906
P119,Ux,-5.68085666,-5.52871254,-5.601647908685713,5.601860422795468,0.04879450378047349
P119,Uy,-1.56932747,-1.50200955,-1.5334993013714289,1.533652180364169,0.021654168862146304
P119,Uz,0.0135477612,0.039263764,0.026473480472,0.02794452315683034,0.00894713396352495
P119,UMag,5.732293923167035,5.889195548394223,5.8078767761877055,5.808072839005417,0.04772269703131854
P119,p,233.056727,239.373558,235.92313050857146,235.92729154942023,1.4012097918288664
P119,k,1.53427768,1.56585137,1.5500512326857143,1.5500949193888356,0.011637661473805126
P11,Ux,-3.58472157,4.83036075,-1.408449007367234,2.2218203192510835,1.7183587881124358
P11,Uy,-3.13296807,5.24819827,1.223606102477714,2.930741963902361,2.663087787692618
P11,Uz,-0.467462045,0.53643354,0.19027496274706288,0.2792959478616182,0.20445455495909987
P11,UMag,0.9274484029958653,5.865600613824144,3.4109277560438014,3.6883248523560357,1.403321794727484
P11,p,-113.773165,-43.883148,-80.43102838285715,82.18320270687873,16.879824656552234
P11,k,0.217000676,1.37242673,0.4824653543542857,0.5478883463574766,0.2596320895461957
P120,Ux,-6.16146787,-5.99804659,-6.078332272971428,6.078609379455508,0.058041083367441196
P120,Uy,-2.70206696,-2.67240139,-2.683847168285715,2.6838586471557786,0.007849534865204972
P120,Uz,0.108949885,0.118592709,0.11359999841714284,0.11366088326809949,0.0037197775349715233
P120,UMag,6.573951651445326,6.720777471468616,6.645515506511505,6.645713507389753,0.0512998539738266
P120,p,218.469996,224.860883,221.46948807428575,221.47434171346453,1.4662501581412593
P120,k,2.33799798,2.3686975,2.353537700228572,2.353561336243598,0.01054784639422317
P121,Ux,-6.98980144,-6.82924069,-6.908149395771427,6.908395961339658,0.05836680869254496
P121,Uy,-4.17295926,-4.14195971,-4.155252530228571,4.15525949966612,0.007610492401112265
P121,Uz,0.181961874,0.183847034,0.18268006621142854,0.18268056196511367,4.2559238458278703E-4
P121,UMag,7.995215304433278,8.135446671632412,8.063692340522048,8.06383832030005,0.048521060845682744
P121,p,202.31665,208.769779,205.41084075428572,205.416481597276,1.5223049699392048
P121,k,3.17859007,3.21927297,3.198415938342857,3.198447530139606,0.01421578033479034
P122,Ux,-7.69854635,-7.54666185,-7.620972795257143,7.62117495629204,0.055510074432646474
P122,Uy,-5.69375003,-5.66478492,-5.677794292571429,5.677798980582458,0.007296241944259935
P122,Uz,0.185111216,0.189100871,0.18695047881142857,0.18695416432833212,0.0011738960271688473
P122,UMag,9.442426168338606,9.572943481113882,9.50540078560318,9.505506869066787,0.044908161065871935
P122,p,185.8675,192.333396,189.02874253714282,189.0351577531137,1.557357239409344
P122,k,3.73782515,3.7712944,3.7534793357142857,3.7534969766627593,0.011507831347225323
P123,Ux,-8.23623032,-8.09683638,-8.164399967085714,8.164560091403294,0.051133781261995914
P123,Uy,-7.059409,-7.0254936,-7.03776142462857,7.037766264772557,0.008253943341748842
P123,Uz,0.160905746,0.164667676,0.16267869973714283,0.1626824537747389,0.0011051778149117292
P123,UMag,10.723129394684717,10.843528244832065,10.780304471291107,10.780383159446243,0.04118944929424135
P123,p,170.852769,177.270216,174.05209130285715,174.05918558999645,1.5714965334702018
P123,k,4.06797356,4.09102936,4.078217587142857,4.078224745610396,0.007641179730607188
P124,Ux,-8.60129482,-8.4760565,-8.536391417257143,8.536516678879808,0.04624478534636877
P124,Uy,-8.20510564,-8.16701739,-8.180198454057143,8.180204023594824,0.009545673264706657
P124,Uz,0.130985005,0.133736947,0.13232285860000004,0.13232479136716602,7.15193881695187E-4
P124,UMag,11.772317687404916,11.882097704795077,11.823871893440225,11.823931864098359,0.03765865577394133
P124,p,157.730406,164.041796,160.93428149714288,160.94194071981232,1.5701342802343095
P124,k,4.24715606,4.26665492,4.255856872914285,4.255861610836667,0.006350422152144991
P125,Ux,-8.82931255,-8.7178316,-8.77121865022857,8.771316177979221,0.04136283310511851
P125,Uy,-9.13589702,-9.09339257,-9.108733030171429,9.108739186037091,0.010589821134636216
P125,Uz,0.103698529,0.105607393,0.10464715190285714,0.10464818305264048,4.645587576333079E-4
