tke,height
0.009210327,0.303797468
0.009210327,0.949367089
0.006578805,1.82278481
0.003947283,2.658227848
0.003947283,3.493670886
0.002631522,4.367088608
0.005263044,5.278481013
0.01315761,6.113924051
0.022367937,6.911392405
0.035525547,7.708860759
0.042104352,8.658227848
0.05263044,10.02531646
0.061840767,11.62025316
