Height,u,tke,omega
0.0,0.0,4.481189196032973,31.42178851871284
0.0002813263340389897,0.0026506903177156297,4.481189196032973,31.392350202714848
0.0011253053361559588,0.010587886603200078,4.481189196032973,31.304365287702087
0.002531937006350907,0.02376724196740869,4.481189196032973,31.158814665626412
0.004501221344623835,0.042115757863815904,4.481189196032973,30.957302942785994
0.007033158350974742,0.06553311648159266,4.481189196032973,30.70201474733951
0.010127748025403628,0.09389347457255737,4.481189196032973,30.3956566790073
0.013784990367910494,0.12704765276015897,4.481189196032973,30.041387717625728
0.01800488537849534,0.16482564288291973,4.481189196032973,29.642741319505873
0.02278743305715817,0.20703934895910545,4.481189196032973,29.203542611104783
0.028132633403898967,0.2534854750051848,4.481189196032973,28.727824044281242
0.03404048641871774,0.3039484749193078,4.481189196032973,28.219742632627305
0.04051099210161451,0.358203485379217,4.481189196032973,27.683501485322996
0.047544150452589265,0.4160191714222428,4.481189196032973,27.123277843514696
0.05513996147164198,0.47716042518506757,4.481189196032973,26.543159256288213
0.06329842515877267,0.5413908702792865,4.481189196032973,25.94708895722343
0.07201954151398136,0.6084751366251183,4.481189196032973,25.338820958843584
0.08130331053726803,0.6781808825403008,4.481189196032973,24.721884901370444
0.09114973222863268,0.7502805519199075,4.481189196032973,24.099560293457916
0.10155880658807527,0.8245528640488993,4.481189196032973,23.474859475025106
0.11253053361559587,0.9007840417283574,4.481189196032973,22.850518416165734
0.12406491331119446,0.9787687898776637,4.481189196032973,22.228994334875125
0.13616194567487097,1.0583110416249264,4.481189196032973,21.61246905900565
0.14882163070662552,1.139224492230288,4.481189196032973,21.002857060994803
0.16204396840645804,1.2213329431737605,4.481189196032973,20.401817143344612
0.17582895877436855,1.3044704795853153,4.481189196032973,19.81076683498741
0.19017660181035706,1.3884815041157204,4.481189196032973,19.23089866141929
0.20508689751442347,1.4732206495522644,4.481189196032973,18.66319756462236
0.2205598458865679,1.5585525911677744,4.481189196032973,18.108458864243502
0.23659544692679033,1.644351778124391,4.481189196032973,17.56730626322282
0.25319370063509067,1.7305021013790154,4.481189196032973,17.040209504901764
0.2703546070114691,1.81689651357132,4.481189196032973,16.52750138200303
0.28807816605592546,1.9034366144081474,4.481189196032973,16.029393879447994
0.30636437776845976,1.990032213156917,4.481189196032973,15.545993302418855
0.3252132421490721,2.0766008780721834,4.481189196032973,15.077314298736885
0.3446247591977624,2.1630674809338504,4.481189196032973,14.623292731332887
0.3645989289145307,2.2493637433894187,4.481189196032973,14.183797393429343
0.3851357512993768,2.335427790472315,4.481189196032973,13.758640587264924
0.4062352263523011,2.421203715512556,4.481189196032973,13.347587608029457
0.42789735407330326,2.506641159657727,4.481189196032973,12.950365189354086
0.45012213446238347,2.5916949083713114,4.481189196032973,12.566668976339303
0.47290956751954166,2.6763245065589203,4.481189196032973,12.196170097707476
0.49625965324477783,2.760493893377618,4.481189196032973,11.838520911112953
0.5201723916380919,2.844171057295108,4.481189196032973,11.49335999567929
0.5446477826994839,2.927327711570838,4.481189196032973,11.160316464084898
0.569685826428954,3.0099389900170492,4.481189196032973,10.83901366349785
0.5952865228265021,3.0919831626528445,4.481189196032973,10.529072330781219
0.6214498718921282,3.1734413706776623,4.481189196032973,10.230113262978882
0.6481758736258322,3.2542973800526163,4.481189196032973,9.941759559401886
0.6754645280276143,3.334537352880671,4.481189196032973,9.663638486859462
0.7033158350974742,3.414149635712098,4.481189196032973,9.39538301485897
0.7317297948354122,3.4931245638640895,4.481189196032973,9.136633063037236
0.7607064072414282,3.5714542808270497,4.481189196032973,8.887036498751224
0.7902456723155219,3.6491325718308216,4.481189196032973,8.646249918693346
0.8203475900576939,3.726154710657761,4.481189196032973,8.413939244630695
0.8510121604679438,3.8025173188132633,4.481189196032973,8.189780159908558
0.8822393835462716,3.8782182361952784,4.481189196032973,7.973458410206065
0.9140292592926775,3.953256402440527,4.481189196032973,7.764669989178001
0.9463817877071613,4.027631748164698,4.481189196032973,7.563121227047829
0.9792969687897232,4.101345095355604,4.481189196032973,7.3685287979161025
1.0127748025403627,4.174398066220937,4.481189196032973,7.180619659497176
1.0468152889590805,4.246792999835002,4.481189196032973,6.999130937175048
1.0814184280458763,4.318532875971043,4.481189196032973,6.823809762657083
1.11658421980075,4.389621245547021,4.481189196032973,6.6544130760822275
1.1523126642237018,4.4600621671523815,4.481189196032973,6.490707399189813
1.1886037613147313,4.529860149161555,4.481189196032973,6.33246858605836
1.225457511073839,4.5990200969762105,4.481189196032973,6.179481556964562
1.2628739135010247,4.667547264972569,4.481189196032973,6.031540020075759
1.3008529685962884,4.7354472127625264,4.481189196032973,5.888446184960716
1.33939467635963,4.802725765407648,4.481189196032973,5.750010471271029
1.3784990367910497,4.869388977253511,4.481189196032973,5.616051215397467
1.4181660498905473,4.935443099078366,4.481189196032973,5.4863943774318855
1.4583957156581229,5.000894548274682,4.481189196032973,5.360873250356924
1.4991880340937758,5.065749881805005,4.481189196032973,5.239328173034376
1.5405430051975073,5.130015771694731,4.481189196032973,5.121606248261663
1.5824606289693168,5.193698982843936,4.481189196032973,5.007561066907976
1.6249409054092043,5.256806352958452,4.481189196032973,4.897052438921473
1.6679838345171698,5.319344774417077,4.481189196032973,4.789946131811892
1.711589416293213,5.381321177907079,4.481189196032973,4.686113617054258
1.7557576507373345,5.442742517674283,4.481189196032973,4.585431824725475
1.8004885378495339,5.503615758246982,4.481189196032973,4.487782906573096
1.8457820776298113,5.563947862504845,4.481189196032973,4.393054007621417
1.8916382700781667,5.623745780974866,4.481189196032973,4.301137046341888
